love,sex
tiger,cat
tiger,tiger
book,paper
computer,keyboard
computer,internet
plane,car
train,car
telephone,communication
television,radio
media,radio
drug,abuse
bread,butter
cucumber,potato
doctor,nurse
professor,doctor
student,professor
smart,student
smart,stupid
company,stock
stock,market
stock,phone
stock,CD
stock,jaguar
stock,egg
fertility,egg
stock,live
stock,life
book,library
bank,money
wood,forest
money,cash
professor,cucumber
king,cabbage
king,queen
king,rook
bishop,rabbi
Jerusalem,Israel
Jerusalem,Palestinian
holy,sex
fuck,sex
Maradona,football
football,soccer
football,basketball
football,tennis
tennis,racket
Arafat,peace
Arafat,terror
Arafat,Jackson
law,lawyer
movie,star
movie,popcorn
movie,critic
movie,theater
physics,proton
physics,chemistry
space,chemistry
alcohol,chemistry
vodka,gin
vodka,brandy
drink,car
drink,ear
drink,mouth
drink,eat
baby,mother
drink,mother
car,automobile
gem,jewel
journey,voyage
boy,lad
coast,shore
asylum,madhouse
magician,wizard
midday,noon
furnace,stove
food,fruit
bird,cock
bird,crane
tool,implement
brother,monk
crane,implement
lad,brother
journey,car
monk,oracle
cemetery,woodland
food,rooster
coast,hill
forest,graveyard
shore,woodland
monk,slave
coast,forest
lad,wizard
chord,smile
glass,magician
noon,string
rooster,voyage
money,dollar
money,cash
money,currency
money,wealth
money,property
money,possession
money,bank
money,deposit
money,withdrawal
money,laundering
money,operation
tiger,jaguar
tiger,feline
tiger,carnivore
tiger,mammal
tiger,animal
tiger,organism
tiger,fauna
tiger,zoo
psychology,psychiatry
psychology,anxiety
psychology,fear
psychology,depression
psychology,clinic
psychology,doctor
psychology,Freud
psychology,mind
psychology,health
psychology,science
psychology,discipline
psychology,cognition
planet,star
planet,constellation
planet,moon
planet,sun
planet,galaxy
planet,space
planet,astronomer
precedent,example
precedent,information
precedent,cognition
precedent,law
precedent,collection
precedent,group
precedent,antecedent
cup,coffee
cup,tableware
cup,article
cup,artifact
cup,object
cup,entity
cup,drink
cup,food
cup,substance
cup,liquid
jaguar,cat
jaguar,car