,Miller,Penguin,WN edges,Hirst,Jiang,Leadcock,Lin,Resnik,DISC(FROM),DISC(TO),DISC(AVG),DISC(MIN),DISC(MAX)
Miller,1,0.877889762,0.731850149,0.689060383,0.695274492,0.820842406,0.823084224,0.774673364,0.797572177,0.810364583,0.843569093,0.83928685,0.82521548
Penguin,0.877889762,1,0.60768689,0.569999297,0.61383487,0.695509105,0.692120852,0.654712038,0.688652461,0.735400367,0.748458825,0.742754903,0.733804858
WN edges,0.731850149,0.60768689,1,0.661684985,0.62463632,0.92175189,0.84177783,0.794338617,0.707704113,0.68336277,0.728432967,0.720800236,0.715952868
Hirst,0.689060383,0.569999297,0.661684985,1,0.895910522,0.845854862,0.759267377,0.738945194,0.51783562,0.553377579,0.563026574,0.548969266,0.560363723
Jiang,0.695274492,0.61383487,0.62463632,0.895910522,1,0.836963379,0.824516795,0.80261818,0.520072478,0.504412325,0.536559114,0.529823051,0.528319846
Leadcock,0.820842406,0.695509105,0.92175189,0.845854862,0.836963379,1,0.941365178,0.897155939,0.742967579,0.7135302,0.762544128,0.748308912,0.754825638
Lin,0.823084224,0.692120852,0.84177783,0.759267377,0.824516795,0.941365178,1,0.953442414,0.735033587,0.687977094,0.744309323,0.728969921,0.738012037
Resnik,0.774673364,0.654712038,0.794338617,0.738945194,0.80261818,0.897155939,0.953442414,1,0.698640647,0.590708557,0.671889312,0.654483529,0.669251288
DISC(FROM),0.797572177,0.688652461,0.707704113,0.51783562,0.520072478,0.742967579,0.735033587,0.698640647,1,0.817770746,0.94609892,0.948688012,0.91918686
DISC(TO),0.810364583,0.735400367,0.68336277,0.553377579,0.504412325,0.7135302,0.687977094,0.590708557,0.817770746,1,0.960097979,0.92863795,0.961967959
DISC(AVG),0.843569093,0.748458825,0.728432967,0.563026574,0.536559114,0.762544128,0.744309323,0.671889312,0.94609892,0.960097979,1,0.983554466,0.987975404
DISC(MIN),0.83928685,0.742754903,0.720800236,0.548969266,0.529823051,0.748308912,0.728969921,0.654483529,0.948688012,0.92863795,0.983554466,1,0.943803032
DISC(MAX),0.82521548,0.733804858,0.715952868,0.560363723,0.528319846,0.754825638,0.738012037,0.669251288,0.91918686,0.961967959,0.987975404,0.943803032,1
Correlation,0.80989869,0.720063402,0.749229203,0.684945799,0.685610875,0.821663017,0.805375126,0.761604545,0.772324862,0.765200624,0.805885854,0.793698471,0.795282999