Word A,Word B,Miller Charles,Penguin Roget,WordNet Edges,Hirst St.Onge,Jiang Conrath,Leacock Chodorow,Lin,Resnik,DISC(TO),DISC(FROM),DISC(AVG),DISC(MIN),DISC(MAX)
asylum,madhouse,3.61,16.00,29.00,4.00,0.66,2.77,0.98,11.28,1.22,1.64,1.43,1.22,1.64
bird,cock,3.05,12.00,29.00,6.00,0.16,2.77,0.69,5.98,0.63,0.33,0.48,0.33,0.63
bird,crane,2.97,14.00,27.00,5.00,0.14,2.08,0.66,5.98,1.51,1.35,1.43,1.35,1.51
boy,lad,3.76,16.00,29.00,5.00,0.23,2.77,0.82,7.77,0.96,0.96,0.96,0.96,0.96
brother,monk,2.82,14.00,29.00,4.00,0.29,2.77,0.90,10.49,0.33,0.63,0.48,0.33,0.63
car,automobile,3.92,16.00,30.00,16.00,1.00,3.47,1.00,6.34,1.26,0.59,0.92,0.59,1.26
cemetery,woodland,0.95,6.00,21.00,0.00,0.05,1.16,0.07,0.70,3.21,2.49,2.85,2.49,3.21
chord,smile,0.13,0.00,20.00,0.00,0.07,1.07,0.29,2.89,2.67,3.95,3.31,2.67,3.95
coast,forest,0.42,6.00,24.00,0.00,0.06,1.52,0.12,1.18,1.84,2.89,2.37,1.84,2.89
coast,hill,0.87,4.00,26.00,2.00,0.15,1.86,0.69,6.38,1.22,1.58,1.40,1.22,1.58
coast,shore,3.70,16.00,29.00,4.00,0.65,2.77,0.97,8.97,0.33,0.63,0.48,0.33,0.63
crane,implement,1.68,0.00,26.00,3.00,0.09,1.86,0.39,3.44,1.55,1.82,1.69,1.55,1.82
food,fruit,3.08,12.00,23.00,0.00,0.09,1.39,0.12,0.70,0.85,1.58,1.21,0.85,1.58
food,rooster,0.89,6.00,17.00,0.00,0.06,0.83,0.09,0.70,2.10,1.94,2.02,1.94,2.10
forest,graveyard,0.84,6.00,21.00,0.00,0.05,1.16,0.07,0.70,2.27,1.55,1.91,1.55,2.27
furnace,stove,3.11,14.00,23.00,5.00,0.06,1.39,0.24,2.43,1.26,0.62,0.94,0.62,1.26
gem,jewel,3.84,16.00,30.00,16.00,1.00,3.47,1.00,12.89,0.58,1.31,0.94,0.58,1.31
glass,magician,0.11,2.00,23.00,0.00,0.06,1.39,0.12,1.18,2.08,2.58,2.33,2.08,2.58
journey,car,1.16,12.00,17.00,0.00,0.08,0.83,0.00,0.00,1.24,1.59,1.42,1.24,1.59
journey,voyage,3.84,16.00,29.00,4.00,0.17,2.77,0.70,6.06,0.26,0.68,0.47,0.26,0.68
lad,brother,1.66,14.00,26.00,3.00,0.07,1.86,0.27,2.46,1.55,2.16,1.85,1.55,2.16
lad,wizard,0.42,4.00,26.00,3.00,0.07,1.86,0.27,2.46,1.55,2.23,1.89,1.55,2.23
magician,wizard,3.50,14.00,30.00,16.00,1.00,3.47,1.00,9.71,0.94,0.94,0.94,0.94,0.94
midday,noon,3.42,16.00,30.00,16.00,1.00,3.47,1.00,10.58,0.95,0.95,0.95,0.95,0.95
monk,oracle,1.10,12.00,23.00,0.00,0.06,1.39,0.23,2.46,2.78,2.49,2.63,2.49,2.78
monk,slave,0.55,6.00,26.00,3.00,0.06,1.86,0.25,2.46,1.90,1.47,1.69,1.47,1.90
noon,string,0.08,6.00,19.00,0.00,0.05,0.98,0.00,0.00,2.49,2.86,2.68,2.49,2.86
rooster,voyage,0.08,2.00,11.00,0.00,0.04,0.47,0.00,0.00,2.53,3.10,2.81,2.53,3.10
shore,woodland,0.63,2.00,25.00,2.00,0.06,1.67,0.12,1.18,1.92,1.92,1.92,1.92,1.92
tool,implement,2.95,16.00,29.00,4.00,0.55,2.77,0.94,6.00,0.68,0.26,0.47,0.26,0.68